Function,dimension,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23,try 24,try 25,try 26,try 27,try 28,try 29,try 30,average,staDev,range,median,time
,30,-20.4511,-21.6511,-19.4812,-19.6895,-20.8423,-21.4833,-21.9953,-20.8464,-21.7809,-20.4208,-21.5436,-21.6212,-20.1553,-21.1408,-21.3681,-20.5165,-20.1386,-21.3783,-21.8974,-21.521,-21.3653,-20.545,-21.0634,-21.1489,-19.7049,-20.0324,-21.5847,-22.7752,-21.0446,-21.0116,-21.0066,17.231,59.9306,-0.89324,0.00334435s
SVSW,10,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,9.61957,17.1563,59.6921,-2.80285,0.00156002s
,20,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,20.308,17.2039,59.6353,-1.79645,0.00236532s
,30,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,30.9964,16.7473,59.8319,-0.806424,0.00349636s
Ackley's 1,10,153.269,190.432,146.422,199.596,217.593,201.114,227.056,96.1171,168.851,225.925,187.653,153.732,164.927,220.825,204.662,214.671,147.808,197.556,178.839,131.781,194.063,179.015,94.8212,170.901,197.865,152.583,204.676,202.712,227.113,162.555,180.504,26.4826,63.6108,-0.241342,0.00249919s
,20,357.852,371.458,380.349,414.342,318.835,389.549,286.826,392.457,388.978,327.495,338.439,287.371,393.954,294.865,269.705,365.051,458.137,374.644,296.933,343.325,385.863,461.397,474.748,379.667,419.02,491.554,423.347,385.973,345.583,389.213,373.564,26.9826,63.8653,-0.906121,0.00233082s
,30,647.695,712.06,663.91,611.112,669.167,621.909,660.765,556.324,617.787,508.722,557.435,636.517,512.48,587.042,737.519,627.007,453.772,636.585,506.71,538.026,666.385,518.285,562.457,589.089,563.357,470.205,651.564,614.117,509.55,571.215,592.626,27.1373,63.8535,1.39715,0.0032235s
Ackley's 2,10,187.103,191.565,194.912,197.097,191.056,192.489,193.076,195.293,192.761,195.752,197.973,195.261,194.993,167.117,197.616,195.848,193.584,195.382,192.515,196.245,189.556,198.213,193.655,196.038,197.586,193.534,193.866,196.447,190.298,196.484,193.444,27.2824,63.7297,-1.52662,0.00147008s
,20,-inf,404.238,416.743,400.577,406.974,406.008,410.614,412.318,407.602,407.152,400.916,411.798,399.688,403.929,392.039,406.308,392.141,414.901,405.977,402.212,414.979,408.602,410.213,415.43,410.623,412.956,415.756,410.691,411.308,409.631,-inf,inf,63.8004,-1.24865,0.00230093s
,30,625.077,619.397,631.998,618.14,617.775,628.856,620.613,631.85,621.489,627.073,596.896,608.615,623.475,624.754,626.59,608.035,595.293,628.918,627.314,628.809,629.529,623.956,601.724,628.421,629.438,632.304,609.295,597.054,623.411,611.724,619.927,27.9509,63.8655,0.109138,0.00377587s
